Method,Preprocessing,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
KMeans,Raw,3,0.5595823478987213,497.00487620805814,0.549557597464291
Hierarchical,Raw,3,0.5644796401732068,552.851711505718,0.5357343073560251
KMeans,Raw,4,0.566947772359962,696.839035649436,0.548665888691409
Hierarchical,Raw,4,0.560672694839426,670.6259906052811,0.5535739500227292
KMeans,Raw,5,0.5081797474674721,745.1974292213944,0.5744186247681753
Hierarchical,Raw,5,0.5074843044233786,684.2226128880217,0.5513145248753538
MeanShift,Raw,5,0.5533204909554731,287.00886903874226,0.45420908447146147
KMeans,Normalized,3,0.2848589191898987,70.9400080031512,1.3891879777181646
Hierarchical,Normalized,3,0.2774439826952266,67.6474675044098,1.4185919431857326
KMeans,Normalized,4,0.25422758316007776,52.75853530591114,1.6954175827443763
Hierarchical,Normalized,4,0.22583665933475802,51.46414629882825,1.7886506143765981
KMeans,Normalized,5,0.1836210510769814,45.85645649550628,1.9120310619672225
Hierarchical,Normalized,5,0.18674235566758707,43.67927204722388,1.9228554600490608
MeanShift,Normalized,6,0.19807240260939732,19.442135141899417,1.0569883807378626
KMeans,Transformed,3,0.3012404890756277,73.11131495870433,1.3609734457072762
Hierarchical,Transformed,3,0.2897748832893604,68.95605882834002,1.3854842493552162
KMeans,Transformed,4,0.2556711530620086,55.82138455097533,1.7692655201146716
Hierarchical,Transformed,4,0.25173142727273834,53.13027673645052,1.704426199116898
KMeans,Transformed,5,0.21738755681318184,46.594643866337314,1.9251014326914622
Hierarchical,Transformed,5,0.22941929105146994,44.79254818351917,1.8093489570386325
MeanShift,Transformed,6,-0.0035858255522047463,4.6292906625937595,1.290315240312111
KMeans,PCA,3,0.5602652844394511,497.57352480921406,0.5487317536911426
Hierarchical,PCA,3,0.5655806398804166,553.5316544515356,0.5342839088928276
KMeans,PCA,4,0.5682455569704515,698.3397467780852,0.5474703366393993
Hierarchical,PCA,4,0.5619198165355055,672.0227741756652,0.552329579581545
KMeans,PCA,5,0.5654745581425672,705.3049721096587,0.48202333399386055
Hierarchical,PCA,5,0.5009132358875238,685.2852597974249,0.5563448455874211
MeanShift,PCA,5,0.5540682793537908,287.38300394088674,0.4535959659060832
KMeans,Norm+Trans,3,0.2990173872874282,72.61238479936341,1.3619366016148513
Hierarchical,Norm+Trans,3,0.29006787919622473,69.86104834250027,1.384195589403025
KMeans,Norm+Trans,4,0.2696349133989908,56.92206749540092,1.7194410204935098
Hierarchical,Norm+Trans,4,0.2674227925448166,54.00259667097692,1.706151819626027
KMeans,Norm+Trans,5,0.21787642190656673,46.11634665723632,1.9002750341334624
Hierarchical,Norm+Trans,5,0.24218801722019945,45.77849385165589,1.8500490247829688
MeanShift,Norm+Trans,7,0.17023514974556153,17.64053115141167,1.1380334429803332
KMeans,Norm+Trans+PCA,3,0.5716972168005673,347.642761432958,0.5880901941971794
Hierarchical,Norm+Trans+PCA,3,0.5703846361380963,342.46044985215116,0.5943362163449549
KMeans,Norm+Trans+PCA,4,0.5252735006030964,337.7932913365496,0.7253462874158347
Hierarchical,Norm+Trans+PCA,4,0.48802471686152793,306.1740735267279,0.7265444191455405
KMeans,Norm+Trans+PCA,5,0.45844317750615604,298.93553916230854,0.7962575320324935
Hierarchical,Norm+Trans+PCA,5,0.46136210267084177,291.093975477242,0.7621112851040474
MeanShift,Norm+Trans+PCA,5,0.46817505860924774,312.6650917737758,0.7374768453929843
